0	4.76
3.11	4.76
5.28	3.06
8.64	3.06
10.93	3.06
12.08	4.72
13.76	4.72
15.84	4.72
17.88	4.14
19.72	4.14
20.34	3.2
22.08	3.2
22.63	3.2
24.5	2.75
26.49	5.26
27.86	2.44
30.94	2.44
33.33	0.88
36.55	0.88
38.45	0.88
40.95	1.91
42.15	1.91
45.12	1.91
46.64	2.09
47.91	4.84
49.69	4.84
51.83	4.84
53.89	2.51
54.68	2.58
55.89	2.58
58.79	2.58
60.68	0.7
63.73	0.7
64.76	0.7
65.97	3.82
67.24	3.82
67.9	3.17
69.0	1.65
71.08	1.65
72.51	1.65
75.64	0.86
77.66	5.68
78.83	5.68
80.78	1.72
81.87	1.72
82.5	1.83
85.43	6.12
88.74	4.99
89.17	4.99
89.36	4.99
90.66	5.64
91.38	5.64
93.93	5.64
94.57	0.85
94.92	0.85
96.34	0.85
99.77	6.85
100.78	0.75
102.65	0.75
102.88	5.46
104.63	2.02
106.91	1.62
109.58	2.32
112.21	2.32
114.61	2.32
117.15	6.35
117.77	6.35
118.55	6.35
121.38	4.02
124.79	4.02
127.11	1.72
128.39	1.72
129.01	1.72
131.21	2.92
133.77	2.92
136.55	2.92
137.11	3.08
137.25	4.71
138.46	4.71
139.42	4.71
140.77	4.18
142.98	5.6
144.4	1.97
147.47	1.97
148.91	1.97
151.09	5.41
152.08	5.41
155.17	2.47
157.73	2.66
159.02	1.81
161.89	6.09
163.37	2.59
165.13	5.52
168.02	5.52
169.3	6.94
169.99	6.94
170.92	6.94
173.14	4.46
175.54	4.46
178.17	1.02
180.24	2.85
182.15	2.85
182.68	2.85
182.84	6.84
186.33	1.74
186.76	1.74
189.79	1.74
192.9	2.16
194.35	2.16
195.18	2.16
196.79	0.44
196.95	0.64
198.31	2.86
199.26	2.86
202.32	0.27
203.09	0.27
206.52	0.27
209.39	6.38
209.76	6.38
212.69	6.38
213.24	4.74
214.8	5.8
217.76	5.8
220.78	2.44
222.94	3.67
224.57	3.67
228.02	5.97
230.82	5.97
234.07	0.33
236.85	0.33
240.06	0.33
240.34	4.99
241.37	4.99
242.42	4.99
243.0	1.9
245.36	1.11
248.46	1.11
249.82	1.11
252.66	6.2
254.66	6.2
258.04	6.2
258.66	1.78
261.55	1.78
264.2	1.78
266.4	2.04
268.36	2.04
271.25	2.04
273.51	0.65
275.29	0.65
276.68	4.88
279.32	4.88
282.4	4.88
282.93	1.68
283.51	3.8
286.3	1.31
288.89	1.31
291.7	4.9
294.52	1.83
297.27	1.83
298.28	1.83
